"","ID_JF","N","niche.mean","niche.med","niche.sd","bio","long","lat","Temp","Alt","Area","Brealm"
"128","NAJF198325",1000,0.284526315988,0.263157895,0.166428702178061,0.099701,-100.4,31.6,18.2,20,4,"Nearctic"
"129","NAJF198911",1000,0.284526315989,0.263157895,0.161644908475535,0.1167,-98.1,29.5,19.5,105,33,"Nearctic"
"130","NAJF200409",1000,0.315263158093,0.263157895,0.165046234800661,0.037028,-82.3,28.2,22.4,86,40,"Nearctic"
"131","NAJF200682",1000,0.29642105287,0.263157895,0.165354035091104,0.085739,-99.2,28.8,21.4,133,100,"Nearctic"
"132","NAJF200749",1000,0.278210526541,0.263157895,0.14108198228522,0.032031,-82.1,27.9,22.5,74,148,"Nearctic"
"133","NAJF201161",1000,0.290368421294,0.263157895,0.155601339544767,0.036717,-82.3,27.7,22.5,86,116,"Nearctic"
"134","NAJF201607",1000,0.284789473926,0.263157895,0.15890199940782,0.031925,-82.3,27.5,22.6,82,84,"Nearctic"
"135","NAJF202703",1000,0.279894737075,0.263157895,0.157682768691202,0.033502,-82.2,27.2,22.6,62,119,"Nearctic"
"136","NAJF202816",1000,0.29400000023,0.263157895,0.158101860875065,0.032919,-81.8,27.5,22.6,127,86,"Nearctic"
"137","NAJF29797",1000,0.28963157915,0.263157895,0.143785913970774,0.117971,-101.8,51.4,1.4,72,7,"Nearctic"
"138","NAJF380861",1000,0.342052631751,0.315789474,0.148603573446093,0.064718,-119.2,60.8,-4.4,66,43,"Nearctic"
"139","NAJF45529",1000,0.340210526468,0.263157895,0.157046913178005,0.067957,-91,53.9,-2.6,90,6,"Nearctic"
"140","NAJF55803",1000,0.342210526466,0.315789474,0.154207657269682,0.069014,-87.9,53.5,-1.8,80,41,"Nearctic"
"141","NAJF89454",1000,0.338210526451,0.263157895,0.152694550728179,0.056535,-86.7,50.8,-0.7,98,23,"Nearctic"
"142","NAJF96474",1000,0.332526315997,0.263157895,0.135984677526476,0.052719,-81.9,49.3,0.6,97,10,"Nearctic"
"143","SAHS12788",1000,0.183052631748,0.157894737,0.108448664935605,0.482313,-67.9,5.7,27.7,85,155,"Neotropical"
"144","SAHS14010",1000,0.190157894857,0.157894737,0.155935289227904,0.341783,-76.8,6.6,31.1,73,29,"Neotropical"
"145","SAHS15147",1000,0.207631579138,0.210526316,0.102891665048754,0.155455,-58.4,5.6,26.3,144,126,"Neotropical"
"146","SAHS15508",1000,0.190421052806,0.157894737,0.105789684730133,0.32704,-60.3,6.2,25.2,15,31,"Neotropical"
"147","SAHS16359",1000,0.202315789676,0.210526316,0.0821136652746507,0.209484,-55.4,4.4,26.2,35,37,"Neotropical"
"148","SAHS16458",1000,0.202052631781,0.210526316,0.09347453235067,0.226312,-57.3,3.2,26.9,122,125,"Neotropical"
"149","SAHS16540",1000,0.190894737033,0.157894737,0.0890194621792603,0.137017,-53.6,4.6,26.5,48,18,"Neotropical"
"150","SAHS16680",1000,0.179578947548,0.157894737,0.085757354598002,0.227358,-54.5,3.4,26,103,123,"Neotropical"
"151","SAHS16758",1000,0.226210526542,0.210526316,0.079288132467291,0.102248,-53.2,5.2,26.2,3,60,"Neotropical"
"152","SAHS16845",1000,0.189000000189,0.157894737,0.0868730957286236,0.119884,-53.1,4.6,26.1,3,124,"Neotropical"
"153","SAHS16944",1000,0.216894737059,0.210526316,0.0867235886575941,0.081289,-52.8,5.2,26.6,2,157,"Neotropical"
"154","SAHS17005",1000,0.208210526524,0.210526316,0.0901368151051145,0.10454,-52.8,4.9,26.1,17,93,"Neotropical"
"155","SAHS17178",1000,0.207000000207,0.210526316,0.0665349160060881,0.128919,-52.5,4.5,25.9,104,104,"Neotropical"
"156","SAHS17436",1000,0.186684210713,0.157894737,0.08174352173926,0.163025,-52.7,3.8,25.5,3,9,"Neotropical"
"157","SAHS17714",1000,0.202263158097,0.210526316,0.0935230505431183,0.219738,-52.5,2.9,24.8,87,79,"Neotropical"
"158","SAHS25790",1000,0.185105263336,0.157894737,0.0996294283342889,0.684462,-64.6,-6.7,26,107,120,"Neotropical"
"159","SAHS32054",1000,0.194210526499,0.157894737,0.109800275215461,0.560278,-49.5,-11.3,25.2,4,133,"Neotropical"
"160","SAHS39877",1000,0.236631579161,0.210526316,0.127558121714292,0.62569,-43.2,-13.5,25.4,18,121,"Neotropical"
"161","SAHS4509",1000,0.246421052762,0.210526316,0.184098545692637,0.537571,-74.7,6.4,27.9,89,67,"Neotropical"
"162","SAHS57719",1000,0.201894737038,0.210526316,0.11319741950293,0.596487,-56.6,-22.9,23.1,113,65,"Neotropical"
