ID_JF	N	niche.mean	niche.med	niche.sd	bio	long	lat	Temp	Alt	Area	Brealm
NAJF120990	1000	0.348842105	0.368421053	0.173112571	0.100783	-122.4	52.4	2.8	60	56	Nearctic
NAJF130611	1000	0.275842105	0.263157895	0.149875553	0.023553	-71.9	49.7	-0.1	148	145	Nearctic
NAJF144070	1000	0.270736842	0.263157895	0.136740995	0.168765	-81.8	45.5	6.3	149	20	Nearctic
NAJF146898	1000	0.333210526	0.315789474	0.168039309	0.186625	-117.2	46.3	9.3	71	130	Nearctic
NAJF152530	1000	0.374578948	0.368421053	0.158563386	0.030459	-67.8	46.6	3.7	94	115	Nearctic
NAJF156254	1000	0.348473684	0.315789474	0.161646581	0.026177	-68.9	45.6	9.3	102	48	Nearctic
NAJF160689	1000	0.371105263	0.368421053	0.160916237	0.026672	-70.2	44.9	3.8	125	32	Nearctic
NAJF163258	1000	0.335105263	0.315789474	0.166488229	0.026301	-71.6	43.2	7.5	95	19	Nearctic
NAJF164632	1000	0.373210526	0.368421053	0.185612381	0.018868	-71	41.9	10.4	108	85	Nearctic
NAJF165363	1000	0.412473684	0.368421053	0.181791343	0.392418	-122.6	41.8	8.6	37	95	Nearctic
NAJF166046	1000	0.32331579	0.315789474	0.168904322	0.058934	-72.3	43.3	5.6	140	75	Nearctic
NAJF166494	1000	0.38431579	0.368421053	0.178142557	0.031619	-73.3	41.8	8.6	79	108	Nearctic
NAJF168097	1000	0.307736842	0.315789474	0.153392704	0.064572	-74.1	42.7	8.2	126	102	Nearctic
NAJF169404	1000	0.363736842	0.368421053	0.206598138	0.07137	-117.1	40.4	6.6	39	101	Nearctic
NAJF169498	1000	0.329210526	0.315789474	0.167581072	0.040343	-75.2	40.9	10.5	120	83	Nearctic
NAJF169707	1000	0.297631579	0.263157895	0.15944113	0.083929	-76.9	41.3	9.9	138	129	Nearctic
NAJF171807	1000	0.304947369	0.263157895	0.166748285	0.063302	-78.4	39.2	12.3	150	90	Nearctic
