"","GRIDCODE","lat","long","SST","Prod","Dist","bio","TL.mean","TL.med"
"208",405,-11,176,28.6,-0.04,632,0.387035007,3.45796985073065,3.45
"209",406,-20,-176,27.5,-0.1,94,0.395960715,3.4305070849332,3.460000019
"210",408,-20,-160,27.5,-0.07,92,0.313291396,3.55409091049394,3.55
"211",409,-20,-152,27.5,-0.13,338,0.333458723,3.51068410521529,3.5
"212",410,-20,-144,27.3,-0.11,98.9,0.326588512,3.49837373879394,3.5
"213",411,-20,-136,27,-0.11,135,0.282666915,3.50577154168938,3.5
"214",422,-20,-48,26.5,-0.04,0,0.275164259,3.59507203218538,3.53
"215",423,-20,-40,26.5,-0.13,0,0.378443163,3.61086421012211,3.55
"216",424,-20,-32,26.1,-0.09,802,0.315884541,3.60725151974949,3.5
"217",427,-20,-8,22.9,-0.12,477,0.286743211,3.62560240971787,3.5
"218",428,-20,0,21.9,-0.08,704,0.255228111,3.53518181761717,3.4
"219",429,-20,8,20.7,-0.07,443,0.366441905,3.56629213596118,3.5
"220",430,-20,16,17.4,0.27,0,0.327277465,3.58946356349899,3.5
"221",432,-20,32,26.2,0.06,0,0.407393285,3.59859437639659,3.5
"222",433,-20,40,27,-0.06,386,0.492373773,3.55563168470232,3.5
"223",434,-20,48,27.2,-0.04,0,0.465963047,3.618559999612,3.6
"224",435,-20,56,25.7,-0.05,155,0.439876024,3.54194046438042,3.5
"225",436,-20,64,25.7,-0.05,54,0.354836437,3.54842424431313,3.5
"226",442,-20,112,26.6,-0.01,316,0.520592953,3.58135135096697,3.5
"227",443,-20,120,27.6,-0.01,22,0.543560166,3.56090817401615,3.5
"228",444,-20,128,27.6,-0.02,0,0.308481717,3.49318705797978,3.5
"229",445,-20,136,27.7,-0.06,0,0.268959524,3.62783199347284,3.54
"230",446,-20,144,27.5,-0.05,0,0.579157439,3.47915662765964,3.5
"231",447,-20,152,26.3,-0.01,163,0.615832728,3.52728096783585,3.5
"232",448,-20,160,26.7,-0.01,120,0.508145827,3.65077699253784,3.5
"233",449,-20,168,27.1,-0.1,132,0.505599182,3.50839170012551,3.5
"234",450,-20,176,27.1,-0.11,230,0.426970166,3.45718984916548,3.45
"235",455,-29,-144,21.9,-0.14,108,0.257102205,3.425979997963,3.5
"236",467,-29,-48,23,-0.26,73,0.440972011,3.62776378775858,3.6
"237",468,-29,-40,23.1,-0.12,646,0.369791521,3.67664307354499,3.68
"238",469,-29,-32,23.1,0.03,1180,0.277729674,3.49239999830359,3.4
"239",474,-29,8,19.3,-0.1,732,0.333377264,3.62722903789059,3.5
"240",475,-29,16,15.1,-0.18,25,0.396225285,3.56080530169929,3.47
"241",476,-29,24,22,-0.06,0,0.288731452,3.563290001022,3.5
"242",477,-29,32,23.6,-0.06,0,0.572972704,3.55176056256439,3.5
"243",479,-29,48,24.2,-0.02,395,0.447191633,3.61105262982692,3.5
"244",487,-29,112,22.2,0.03,160,0.595483672,3.57002010084422,3.5
"245",489,-29,128,22.5,0.06,0,0.303561308,3.57763397233569,3.5
"246",492,-29,152,23.1,-0.07,0,0.629123982,3.57596363699394,3.5
"247",493,-29,160,22.4,0.01,629,0.465687026,3.55118781959391,3.5
"248",494,-29,168,22.2,-0.06,50,0.43443538,3.57622984039617,3.5
"249",496,-38,-176,17.6,-0.3,483,0.279715454,3.75784599682518,3.68
"250",508,-38,-80,16.3,-0.27,490,0.217277899,3.45172826323478,3.3
"251",510,-38,-64,15.3,0,0,0.203227201,3.72888548068507,3.79
"252",511,-38,-56,13.8,-0.16,135,0.319096413,3.57941596667332,3.45
"253",512,-38,-48,18.6,-0.17,782,0.374362176,3.60242842121315,3.5
"254",513,-38,-40,17.4,-0.19,1324,0.274271051,3.56778836042011,3.4
"255",519,-38,8,15.9,0.01,1029,0.347388509,3.5550000008645,3.4
"256",520,-38,16,19,-0.12,507,0.474553783,3.62167886298069,3.5
"257",521,-38,24,19.2,-0.15,460,0.491046983,3.56468623481377,3.5
"258",523,-38,40,18.8,-0.02,1254,0.31928788,3.55439073044512,3.45
"259",524,-38,48,17.2,0.02,1431,0.305007097,3.7032328462079,3.609999895
"260",528,-38,80,15.4,-0.16,1458,0.256541512,3.58580273061805,3.45
"261",532,-38,112,16.4,-0.13,516,0.452252454,3.64650608502637,3.56
"262",533,-38,120,16.3,-0.17,380,0.361527011,3.56277263275412,3.5
"263",534,-38,128,15.7,-0.12,620,0.320327646,3.63644377077102,3.56
"264",535,-38,136,17,-0.04,250,0.359161315,3.66305060791093,3.62
"265",536,-38,144,15.8,-0.05,0,0.357791099,3.70982680456495,3.66
"266",537,-38,152,19.6,-0.02,196,0.508397838,3.59433501992308,3.5
"267",538,-38,160,17.7,-0.05,882,0.314412189,3.63641213638703,3.5
"268",539,-38,168,17.1,-0.1,510,0.364225103,3.66338929581847,3.59
"269",540,-38,176,18,-0.16,0,0.37263672,3.65855532804201,3.555
"270",541,-49,-176,10.7,0.07,601,0.195627826,3.7196878401098,3.6
"271",555,-49,-64,10.3,-0.2,210,0.214417639,3.69815555555556,3.72
"272",556,-49,-56,8.6,-0.23,251,0.225620644,3.59849891686609,3.45
"273",557,-49,-48,10.9,-0.17,727,0.201032941,3.46636994370867,3.35
"274",558,-49,-40,9.1,-0.19,522,0.207474699,3.51275395107111,3.4
"275",559,-49,-32,6.7,-0.22,617,0.19483411,3.49555304664786,3.34
"276",571,-49,64,6,-0.05,339,0.196545144,3.57873099336842,3.45
"277",572,-49,72,3.9,-0.06,106,0.195341178,3.56963208476598,3.41
"278",581,-49,144,10.2,-0.19,677,0.325689684,3.69014846245811,3.609999895
"279",582,-49,152,11.1,-0.15,759,0.313774277,3.64702851071711,3.5
"280",583,-49,160,11.7,-0.02,445,0.258618937,3.57514598733455,3.39
"281",584,-49,168,12.1,-0.24,169,0.277502292,3.71831364388829,3.6
"282",585,-49,176,10,0.08,198,0.266286655,3.74156841904316,3.68
"283",600,-65,-64,0.1,0.05,1,0.187276598,3.47098901215824,3.420000076
"284",601,-65,-56,-1.4,-0.45,93,0.166976285,3.54124454112445,3.44
"285",602,-65,-48,-1.5,0.82,399,0.152909048,3.42986530295259,3.37
"286",603,-65,-40,-0.9,0.6,545,0.148195658,3.48063714528618,3.42
"287",607,-65,-8,-0.5,0.13,504,0.138029584,3.39553530881549,3.29
"288",616,-65,64,-0.2,0.14,272,0.121559509,3.44086382345528,3.37
"289",617,-65,72,0,-0.06,258,0.120112675,3.48374203814225,3.29
"290",618,-65,80,-0.4,0.07,100,0.123635208,3.41705555716,3.3
"291",625,-65,136,-0.9,0.46,60,0.134372777,3.34106175527086,3.29
"292",626,-65,144,-0.9,0.24,190,0.139214115,3.39678652007753,3.29
"293",629,-65,168,-0.8,0.16,285,0.143061,3.45390909272273,3.38
