"","GRIDCODE","lat","lat.t","long","N","niche.mean","niche.med","niche.sd","niche.min","niche.max","niche.range","SST","Prod","Dist","bio"
"115",191,21,111,-96,1000,0.179645161452,0.161290323,0.117227978712242,0.032258065,0.838709677,0.806451612,25.9,0.05,136,0.415093546
"116",192,21,111,-88,1000,0.169419355038,0.129032258,0.119739025342717,0.032258065,0.838709677,0.806451612,27.1,-0.05,0,0.461430044
"117",193,21,111,-80,1000,0.157516129234,0.129032258,0.110117541716353,0.032258065,0.709677419,0.677419354,26.8,0,51,0.519611481
"118",194,21,111,-72,1000,0.162612903414,0.129032258,0.103314359996663,0.032258065,0.838709677,0.806451612,26.6,-0.14,151,0.478194633
"119",195,21,111,-64,1000,0.158000000198,0.129032258,0.104279132101517,0.032258065,0.838709677,0.806451612,26.4,-0.13,373,0.415490533
"120",196,21,111,-56,1000,0.135193548513,0.096774194,0.0964049431038155,0.032258065,0.580645161,0.548387096,25.9,-0.06,1071,0.323752581
"121",197,21,111,-48,1000,0.130096774389,0.096774194,0.0859725170403573,0.032258065,0.387096774,0.354838709,25.3,-0.09,1812,0.263449497
"122",198,21,111,-40,1000,0.133612903427,0.096774194,0.0882440525606106,0.032258065,0.35483871,0.322580645,24.9,-0.13,2404,0.29491504
"123",199,21,111,-32,1000,0.136483871154,0.096774194,0.0857282065008495,0.032258065,0.451612903,0.419354838,23.9,-0.14,1539,0.326255494
"124",200,21,111,-24,1000,0.123645161459,0.096774194,0.0756973656884409,0.032258065,0.35483871,0.322580645,22.6,-0.15,726,0.417572176
"125",201,21,111,-16,1000,0.165548387239,0.129032258,0.0976185408812697,0.032258065,0.548387097,0.516129032,18.9,0.08,0,0.474864318
"126",207,21,111,32,1000,0.123322580841,0.096774194,0.0874605426546189,0.032258065,0.387096774,0.354838709,27.5,0.07,0,0.263033962
"127",208,21,111,40,1000,0.134774193776,0.129032258,0.0908409447506876,0.032258065,0.580645161,0.548387096,27.5,0.07,0,0.301485951
"128",210,21,111,56,1000,0.12393548411,0.129032258,0.0722613337694163,0.032258065,0.35483871,0.322580645,27.2,-0.06,0,0.380068315
"129",211,21,111,64,1000,0.139032258276,0.129032258,0.0752058245728801,0.032258065,0.387096774,0.354838709,26.5,-0.2,432,0.36160969
"130",212,21,111,72,1000,0.139322580833,0.129032258,0.0780824965038098,0.032258065,0.451612903,0.419354838,26.3,-0.03,0,0.38618606
"131",213,21,111,80,1000,0.147193548567,0.129032258,0.0919561784559794,0.032258065,0.548387097,0.516129032,27,-0.05,0,0.32988628
"132",214,21,111,88,1000,0.146032258286,0.129032258,0.0837095530900681,0.032258065,0.387096774,0.354838709,27.4,-0.11,46,0.430425402
"133",215,21,111,96,1000,0.165064516307,0.129032258,0.100875924863132,0.032258065,0.612903226,0.580645161,27.1,-0.02,0,0.373666473
"134",216,21,111,104,1000,0.131258064683,0.129032258,0.0783421955288924,0.032258065,0.387096774,0.354838709,22.8,0,0,0.347263368
"135",217,21,111,112,1000,0.130032258318,0.129032258,0.078685803984665,0.032258065,0.387096774,0.354838709,25.5,-0.14,46,0.589437076
"136",218,21,111,120,1000,0.114290322818,0.096774194,0.0748883353596308,0.032258065,0.387096774,0.354838709,26.7,-0.02,105,0.77160941
"137",219,21,111,128,1000,0.124935484068,0.129032258,0.0749906360040718,0.032258065,0.387096774,0.354838709,26.4,-0.07,711,0.590714339
"138",221,21,111,144,1000,0.147709677582,0.129032258,0.0847636344931316,0.032258065,0.387096774,0.354838709,26.6,-0.08,1550,0.363058996
"139",224,21,111,168,1000,0.163709677637,0.161290323,0.0811577561582093,0.032258065,0.35483871,0.322580645,26.3,-0.06,3075,0.287043973
"140",227,13,103,-168,1000,0.139483871197,0.129032258,0.0856150427569923,0.032258065,0.35483871,0.322580645,26.9,-0.1,1469,0.335943029
"141",228,13,103,-160,1000,0.124645161475,0.096774194,0.0733661911060658,0.032258065,0.35483871,0.322580645,26.8,-0.05,818,0.325122303
"142",229,13,103,-152,1000,0.137161290523,0.129032258,0.0885425406768418,0.032258065,0.35483871,0.322580645,26.2,-0.1,798,0.309741597
"143",230,13,103,-144,1000,0.164322580885,0.161290323,0.0818974360224368,0.032258065,0.35483871,0.322580645,26.2,-0.2,1415,0.287706479
"144",231,13,103,-136,1000,0.156096774419,0.129032258,0.105032974694504,0.032258065,0.451612903,0.419354838,26.4,-0.23,2187,0.261565837
"145",234,13,103,-112,1000,0.143612903445,0.129032258,0.083025016032576,0.032258065,0.35483871,0.322580645,27.6,-0.09,1106,0.262327116
"146",235,13,103,-104,1000,0.135903226047,0.096774194,0.0910317470275343,0.032258065,0.35483871,0.322580645,28.3,-0.16,589,0.323753589
"147",236,13,103,-96,1000,0.140516129252,0.129032258,0.083297867775767,0.032258065,0.419354839,0.387096774,28.1,-0.14,313,0.335677885
"148",237,13,103,-88,1000,0.150225806664,0.129032258,0.0985042964568373,0.032258065,0.838709677,0.806451612,27.4,-0.16,34,0.478112378
"149",238,13,103,-80,1000,0.151129032464,0.129032258,0.100919614150403,0.032258065,0.838709677,0.806451612,27.6,-0.04,355,0.485781202
"150",239,13,103,-72,1000,0.161161290524,0.129032258,0.107021888766678,0.032258065,0.838709677,0.806451612,26.9,-0.04,55,0.450662302
"151",240,13,103,-64,1000,0.162870967933,0.129032258,0.105712676408279,0.032258065,0.64516129,0.612903225,26.9,0.2,240,0.470487039
"152",241,13,103,-56,1000,0.160096774391,0.129032258,0.104737783482991,0.032258065,0.580645161,0.548387096,27.5,-0.02,650,0.430884072
"153",242,13,103,-48,1000,0.140935484026,0.129032258,0.0848685140691092,0.032258065,0.387096774,0.354838709,26.7,-0.15,1029,0.301074114
"154",243,13,103,-40,1000,0.126709677606,0.096774194,0.081538313498644,0.032258065,0.451612903,0.419354838,26,-0.1,1500,0.295965121
"155",244,13,103,-32,1000,0.134483871146,0.096774194,0.0871190696206971,0.032258065,0.451612903,0.419354838,25.9,-0.14,1635,0.315246067
"156",245,13,103,-24,1000,0.144806451774,0.129032258,0.0984012902122137,0.032258065,0.709677419,0.677419354,26.5,-0.13,784,0.405226634
"157",246,13,103,-16,1000,0.154645161448,0.129032258,0.0934256811554967,0.032258065,0.580645161,0.548387096,23.9,-0.07,0,0.475687917
"158",253,13,103,40,1000,0.114258064731,0.096774194,0.0744005215602431,0.032258065,0.387096774,0.354838709,28.1,-0.14,0,0.353111928
"159",254,13,103,48,1000,0.13770967761,0.129032258,0.0875734209188711,0.032258065,0.387096774,0.354838709,27.7,-0.12,115,0.428173837
"160",255,13,103,56,1000,0.123580645388,0.096774194,0.0832676944323557,0.032258065,0.387096774,0.354838709,27,-0.09,470,0.423615312
"161",256,13,103,64,1000,0.148516129221,0.129032258,0.0865357100148593,0.032258065,0.419354839,0.387096774,27.8,-0.04,950,0.282697845
"162",257,13,103,72,1000,0.140161290575,0.129032258,0.0825486550521189,0.032258065,0.35483871,0.322580645,28.5,-0.14,299,0.495084455
"163",258,13,103,80,1000,0.135903226022,0.129032258,0.0850572651973934,0.032258065,0.580645161,0.548387096,28.6,-0.12,0,0.53287188
"164",259,13,103,88,1000,0.138903226034,0.129032258,0.0894430217823596,0.032258065,0.387096774,0.354838709,28.7,-0.07,749,0.436721604
"165",260,13,103,96,1000,0.123258064747,0.096774194,0.080549583228174,0.032258065,0.838709677,0.806451612,28.3,0.08,280,0.532381019
"166",261,13,103,104,1000,0.11977419378,0.096774194,0.075113878404566,0.032258065,0.387096774,0.354838709,28.8,0.15,0,0.494759556
"167",262,13,103,112,1000,0.11938709702,0.096774194,0.0766306751991321,0.032258065,0.387096774,0.354838709,27.9,-0.02,278,0.573665452
"168",263,13,103,120,1000,0.110580645427,0.096774194,0.0773424655234026,0.032258065,0.838709677,0.806451612,28.1,0.05,55,0.686432042
"169",264,13,103,128,1000,0.113903226047,0.096774194,0.074991802736505,0.032258065,0.35483871,0.322580645,28.6,-0.06,296,0.608192685
"170",265,13,103,136,1000,0.135419355062,0.129032258,0.0810255871992853,0.032258065,0.387096774,0.354838709,28.6,-0.06,1142,0.412776783
"171",266,13,103,144,1000,0.129741935684,0.129032258,0.0783240912376765,0.032258065,0.387096774,0.354838709,28.6,-0.02,1785,0.434924257
"172",268,13,103,160,1000,0.131483871167,0.129032258,0.0800779171295542,0.032258065,0.387096774,0.354838709,27.9,-0.04,2541,0.386916288
"173",269,13,103,168,1000,0.127096774393,0.129032258,0.072587551301747,0.032258065,0.35483871,0.322580645,28,-0.04,3054,0.366372237
"174",270,13,103,176,1000,0.168129032424,0.161290323,0.0923913950383533,0.032258065,0.35483871,0.322580645,27.4,-0.07,3085,0.286785692
"175",273,5,95,-160,1000,0.14200000017,0.129032258,0.080520074737737,0.032258065,0.387096774,0.354838709,27.7,-0.12,1645,0.292712033
"176",274,5,95,-152,1000,0.121516129181,0.096774194,0.074669365312594,0.032258065,0.387096774,0.354838709,27.7,0.16,1693,0.259265609
"177",275,5,95,-144,1000,0.138354838956,0.129032258,0.0836112429535148,0.032258065,0.35483871,0.322580645,27.6,0.1,1986,0.268068407
"178",278,5,95,-120,1000,0.160096774381,0.161290323,0.0823316883632816,0.032258065,0.35483871,0.322580645,27.3,0.16,2364,0.271478187
"179",281,5,95,-96,1000,0.125032258328,0.096774194,0.0792173910900454,0.032258065,0.387096774,0.354838709,27.8,-0.01,1210,0.328686372
"180",282,5,95,-88,1000,0.122741935723,0.096774194,0.0822009191495259,0.032258065,0.387096774,0.354838709,27.4,-0.11,636,0.379738061
"181",283,5,95,-80,1000,0.127806451835,0.096774194,0.0869042903015895,0.032258065,0.548387097,0.516129032,27.7,0.04,279,0.464410468
"182",286,5,95,-56,1000,0.18703225824,0.161290323,0.120591549049032,0.032258065,0.838709677,0.806451612,27.7,-0.15,0,0.388079614
"183",287,5,95,-48,1000,0.165935484077,0.161290323,0.104865166997027,0.032258065,0.580645161,0.548387096,27.6,-0.12,360,0.346041883
"184",288,5,95,-40,1000,0.140580645304,0.096774194,0.101783225304828,0.032258065,0.580645161,0.548387096,27.3,-0.15,853,0.310586397
"185",289,5,95,-32,1000,0.133806451792,0.096774194,0.0812521699948722,0.032258065,0.35483871,0.322580645,27.1,-0.07,1177,0.307555454
"186",290,5,95,-24,1000,0.131161290471,0.096774194,0.101996927327282,0.032258065,0.774193548,0.741935483,27.2,-0.09,1144,0.343732738
"187",291,5,95,-16,1000,0.148838709822,0.129032258,0.0915643956788883,0.032258065,0.548387097,0.516129032,27.2,-0.13,488,0.408742413
